model,n,bench,realtime_s_to_first_solution
guards_in_return_expression,25,co_expand_ac,7.37
guards_in_return_expression,25,co_expand_ac,7.41
guards_in_return_expression,25,co_expand_ac,7.38
guards_in_return_expression,25,sr_O0,0.70
guards_in_return_expression,25,sr_O0,0.51
guards_in_return_expression,25,sr_O0,0.50
guards_in_return_expression,25,sr_O3,0.60
guards_in_return_expression,25,sr_O3,0.58
guards_in_return_expression,25,sr_O3,0.58
guards_in_return_expression,50,co_expand_ac,24.46
guards_in_return_expression,50,co_expand_ac,24.58
guards_in_return_expression,50,co_expand_ac,24.57
guards_in_return_expression,50,sr_O0,3.12
guards_in_return_expression,50,sr_O0,3.06
guards_in_return_expression,50,sr_O0,2.68
guards_in_return_expression,50,sr_O3,2.83
guards_in_return_expression,50,sr_O3,3.05
guards_in_return_expression,50,sr_O3,3.08
