model,n,mean_time_s,sd,samples
dynamic_guards,10,0.11866666666666667,0.0030550504633038897,3
dynamic_guards,20,0.11266666666666666,0.004725815626252605,3
dynamic_guards,30,0.134,0.0040000000000000036,3
dynamic_guards,40,0.16533333333333333,0.006658328118479383,3
dynamic_guards,50,0.21733333333333332,0.0025166114784235852,3
dynamic_guards,60,0.30833333333333335,0.006110100926607792,3
dynamic_guards,70,0.444,0.009643650760992963,3
dynamic_guards,80,0.6183333333333333,0.004725815626252613,3
dynamic_guards,90,0.832,0.00793725393319378,3
dynamic_guards,100,1.065,0.01442220510185597,3
dynamic_guards,110,1.4333333333333333,0.04796179034745621,3
dynamic_guards,120,1.7846666666666666,0.025026652459594644,3
dynamic_guards,130,2.2476666666666665,0.022233608194203048,3
dynamic_guards,140,2.757,0.035538711287833535,3
dynamic_guards,150,3.396666666666667,0.06123180001709357,3
dynamic_guards,160,3.9979999999999998,0.03041381265149096,3
dynamic_guards,170,4.972333333333333,0.12965081308396523,3
dynamic_guards,180,5.6979999999999995,0.028213471959331778,3
dynamic_guards,190,6.6066666666666665,0.02977135088190204,3
dynamic_guards,200,7.821666666666666,0.1738083235444528,3
if,10,0.105,0.003999999999999997,3
if,20,0.12233333333333334,0.005131601439446889,3
if,30,0.16533333333333333,0.0025166114784235852,3
if,40,0.22966666666666669,0.0028867513459481316,3
if,50,0.3443333333333333,0.003055050463303866,3
if,60,0.5223333333333333,0.0020816659994661343,3
if,70,0.7926666666666667,0.020647840887931455,3
if,80,1.1280000000000001,0.023388031127052986,3
if,90,1.5566666666666666,0.043500957843860634,3
if,100,2.0473333333333334,0.03847510017314228,3
if,110,2.752,0.08168843247363723,3
if,120,3.4486666666666665,0.047056703383612945,3
if,130,4.466666666666667,0.10798302335706926,3
if,140,5.366,0.006244997998398635,3
if,150,6.64,0.04992995093127958,3
if,160,8.158,0.2090287061625744,3
if,170,9.770333333333333,0.21276826204425692,3
if,180,11.316666666666666,0.030501366089625098,3
if,190,13.448,0.3685864891718085,3
if,200,15.360666666666667,0.022030282189144025,3
static_guards,10,0.10066666666666667,0.003785938897200178,3
static_guards,20,0.1,0.0017320508075688709,3
static_guards,30,0.11933333333333333,0.004618802153517002,3
static_guards,40,0.12000000000000001,0.008660254037844387,3
static_guards,50,0.13766666666666666,0.006806859285554041,3
static_guards,60,0.14633333333333334,0.008504900548115377,3
static_guards,70,0.16833333333333333,0.0058594652770823045,3
static_guards,80,0.19566666666666668,0.0035118845842842493,3
static_guards,90,0.221,0.007810249675906661,3
static_guards,100,0.266,0.0030000000000000027,3
static_guards,110,0.31766666666666665,0.008082903768654767,3
static_guards,120,0.367,0.006244997998398403,3
static_guards,130,0.44833333333333336,0.02466441431158126,3
static_guards,140,0.5156666666666667,0.014189197769195187,3
static_guards,150,0.6213333333333333,0.02173323108360407,3
static_guards,160,0.7196666666666667,0.026857649437978273,3
static_guards,170,0.8326666666666667,0.014468356276140482,3
static_guards,180,0.9893333333333333,0.039374272480051375,3
static_guards,190,1.1106666666666667,0.027465129406819347,3
static_guards,200,1.28,0.05102940328869234,3
