model,n,mean_time_s,sd,samples
dynamic_guards,25,0.12833333333333333,0.008962886439832509,3
dynamic_guards,50,0.25166666666666665,0.001527525231651948,3
dynamic_guards,75,0.546,0.017320508075688724,3
dynamic_guards,100,1.1546666666666667,0.05918051481132394,3
dynamic_guards,125,2.15,0.1381448515146329,3
dynamic_guards,150,3.699,0.24284768889161784,3
dynamic_guards,175,5.870666666666667,0.35259372276507317,3
dynamic_guards,200,8.268333333333333,0.19716575091362476,3
if,25,0.14466666666666667,0.0035118845842842493,3
if,50,0.37533333333333335,0.010214368964029717,3
if,75,0.9603333333333333,0.007505553499465142,3
if,100,2.107666666666667,0.017214335111567183,3
if,125,4.089333333333333,0.06951498639382231,3
if,150,7.051333333333333,0.20101326656052657,3
if,175,11.264666666666667,0.5963743231673662,3
if,200,16.395666666666667,0.06230837289909934,3
static_guards,25,0.11733333333333333,0.004041451884327377,3
static_guards,50,0.16966666666666666,0.008082903768654755,3
static_guards,75,0.26666666666666666,0.010066445913694341,3
static_guards,100,0.4686666666666667,0.022744962812309297,3
static_guards,125,0.8033333333333333,0.008962886439832509,3
static_guards,150,1.2793333333333332,0.017785762095938757,3
static_guards,175,1.9553333333333334,0.042359571921034955,3
static_guards,200,2.879,0.10640958603434188,3
