JobRuntime	Exitval	Command
     0.177	0	savilerow -O0 and-guard.eprime 010.param
     0.291	0	savilerow -O0 and-guard.eprime 020.param
     0.322	0	savilerow -O0 and-guard.eprime 030.param
     0.401	0	savilerow -O0 and-guard.eprime 040.param
     0.510	0	savilerow -O0 and-guard.eprime 050.param
     0.687	0	savilerow -O0 and-guard.eprime 060.param
     0.996	0	savilerow -O0 and-guard.eprime 070.param
     1.381	0	savilerow -O0 and-guard.eprime 080.param
     1.812	0	savilerow -O0 and-guard.eprime 090.param
     2.367	0	savilerow -O0 and-guard.eprime 100.param
     3.121	0	savilerow -O0 and-guard.eprime 110.param
     4.366	0	savilerow -O0 and-guard.eprime 120.param
     5.034	0	savilerow -O0 and-guard.eprime 130.param
     6.248	0	savilerow -O0 and-guard.eprime 140.param
     7.683	0	savilerow -O0 and-guard.eprime 150.param
     9.302	0	savilerow -O0 and-guard.eprime 160.param
    11.075	0	savilerow -O0 and-guard.eprime 170.param
    13.121	0	savilerow -O0 and-guard.eprime 180.param
    15.532	0	savilerow -O0 and-guard.eprime 190.param
    17.963	0	savilerow -O0 and-guard.eprime 200.param
     0.169	0	savilerow -O0 and.eprime 010.param
     0.255	0	savilerow -O0 and.eprime 020.param
     0.516	0	savilerow -O0 and.eprime 030.param
     1.004	0	savilerow -O0 and.eprime 040.param
     2.065	0	savilerow -O0 and.eprime 050.param
     4.452	0	savilerow -O0 and.eprime 060.param
     9.404	0	savilerow -O0 and.eprime 070.param
    19.263	0	savilerow -O0 and.eprime 080.param
   383.253	-1	savilerow -O0 and.eprime 090.param
   600.000	-1	savilerow -O0 and.eprime 100.param
   600.000	-1	savilerow -O0 and.eprime 110.param
   600.000	-1	savilerow -O0 and.eprime 120.param
   600.000	-1	savilerow -O0 and.eprime 130.param
   600.000	-1	savilerow -O0 and.eprime 140.param
   600.000	-1	savilerow -O0 and.eprime 150.param
   600.000	-1	savilerow -O0 and.eprime 160.param
   600.000	-1	savilerow -O0 and.eprime 170.param
   600.000	-1	savilerow -O0 and.eprime 180.param
   600.000	-1	savilerow -O0 and.eprime 190.param
   600.000	-1	savilerow -O0 and.eprime 200.param
     0.164	0	savilerow -O0 forAll.eprime 010.param
     0.196	0	savilerow -O0 forAll.eprime 020.param
     0.353	0	savilerow -O0 forAll.eprime 030.param
     0.470	0	savilerow -O0 forAll.eprime 040.param
     0.710	0	savilerow -O0 forAll.eprime 050.param
     1.032	0	savilerow -O0 forAll.eprime 060.param
     1.266	0	savilerow -O0 forAll.eprime 070.param
     1.987	0	savilerow -O0 forAll.eprime 080.param
     2.632	0	savilerow -O0 forAll.eprime 090.param
     3.308	0	savilerow -O0 forAll.eprime 100.param
     2.417	0	savilerow -O0 forAll.eprime 110.param
     3.049	0	savilerow -O0 forAll.eprime 120.param
     3.819	0	savilerow -O0 forAll.eprime 130.param
     4.677	0	savilerow -O0 forAll.eprime 140.param
     5.720	0	savilerow -O0 forAll.eprime 150.param
     7.055	0	savilerow -O0 forAll.eprime 160.param
     7.886	0	savilerow -O0 forAll.eprime 170.param
     9.585	0	savilerow -O0 forAll.eprime 180.param
    11.014	0	savilerow -O0 forAll.eprime 190.param
    12.532	0	savilerow -O0 forAll.eprime 200.param
