model,n,bench,realtime_s,n_exprs_in_expansion
colours1,5,simple,4.48,25
colours1,5,expand_ac,4.52,25
colours1,10,expand_ac,26.12,100
colours2,5,expand_ac,37.32,60
colours2,5,simple,37.77,125
colours1,10,simple,26.28,100
colours1,15,expand_ac,102.55,225
colours2,10,expand_ac,186.70,720
colours2,10,simple,194.22,1000
colours1,15,simple,103.74,225
colours1,20,expand_ac,285.37,400
colours2,15,expand_ac,716.23,2730
colours2,15,simple,754.21,3375
colours1,20,simple,302.29,400
colours1,25,expand_ac,666.29,625
colours2,20,expand_ac,2159.59,6840
colours2,20,simple,2297.37,8000
colours1,25,simple,665.45,625
