model,n,bench,realtime_s,n_exprs_in_expansion
guards_in_return_expression,10,expand_ac,5.88,2
guards_in_return_expression,10,expand_ac,6.04,2
guards_in_return_expression,10,simple,14.72,1000
guards_in_return_expression,10,simple,14.60,1000
guards_in_return_expression,20,expand_ac,5.92,6
guards_in_return_expression,20,expand_ac,6.00,6
guards_in_return_expression,20,simple,77.41,8000
guards_in_return_expression,20,simple,77.69,8000
guards_in_return_expression,30,expand_ac,6.04,11
guards_in_return_expression,30,expand_ac,6.30,11
guards_in_return_expression,30,simple,251.68,27000
guards_in_return_expression,30,simple,248.82,27000
guards_in_return_expression,40,expand_ac,6.00,16
guards_in_return_expression,40,expand_ac,6.05,16
guards_in_return_expression,40,simple,586.56,64000
guards_in_return_expression,40,simple,584.59,64000
guards_in_return_expression,50,expand_ac,6.15,20
guards_in_return_expression,50,expand_ac,6.38,20
guards_in_return_expression,50,simple,1146.97,125000
guards_in_return_expression,50,simple,1145.48,125000
guards_in_return_expression,60,expand_ac,5.97,26
guards_in_return_expression,70,expand_ac,6.07,33
guards_in_return_expression,80,expand_ac,6.10,39
guards_in_return_expression,90,expand_ac,6.19,47
guards_in_return_expression,100,expand_ac,6.21,52
guards_in_return_expression,110,expand_ac,6.35,59
guards_in_return_expression,120,expand_ac,6.38,66
guards_in_return_expression,130,expand_ac,6.46,75
guards_in_return_expression,140,expand_ac,6.45,79
guards_in_return_expression,150,expand_ac,6.63,89
guards_in_return_expression,160,expand_ac,6.69,95
guards_in_return_expression,170,expand_ac,6.70,103
guards_in_return_expression,190,expand_ac,6.86,118
guards_in_return_expression,180,expand_ac,7.15,109
guards_in_return_expression,200,expand_ac,7.31,127
guards_in_return_expression,210,expand_ac,7.06,136
guards_in_return_expression,220,expand_ac,7.09,141
guards_in_return_expression,230,expand_ac,7.24,151
guards_in_return_expression,240,expand_ac,7.24,157
guards_in_return_expression,250,expand_ac,7.40,165
guards_in_return_expression,260,expand_ac,7.43,175
guards_in_return_expression,270,expand_ac,7.64,183
guards_in_return_expression,280,expand_ac,7.72,190
guards_in_return_expression,290,expand_ac,7.68,200
guards_in_return_expression,300,expand_ac,7.86,209
guards_in_return_expression,310,expand_ac,7.91,216
guards_in_return_expression,320,expand_ac,7.95,224
guards_in_return_expression,330,expand_ac,8.12,235
guards_in_return_expression,340,expand_ac,8.24,245
guards_in_return_expression,350,expand_ac,8.15,251
guards_in_return_expression,360,expand_ac,8.40,257
guards_in_return_expression,370,expand_ac,8.40,269
guards_in_return_expression,380,expand_ac,8.54,280
guards_in_return_expression,390,expand_ac,8.63,288
guards_in_return_expression,400,expand_ac,8.70,294
guards_in_return_expression,410,expand_ac,8.79,306
guards_in_return_expression,420,expand_ac,9.31,310
guards_in_return_expression,430,expand_ac,8.91,322
guards_in_return_expression,440,expand_ac,9.43,330
guards_in_return_expression,450,expand_ac,9.17,343
guards_in_return_expression,460,expand_ac,9.32,353
guards_in_return_expression,470,expand_ac,9.29,359
guards_in_return_expression,480,expand_ac,9.37,365
guards_in_return_expression,490,expand_ac,9.51,376
guards_in_return_expression,500,expand_ac,9.65,386
guards_in_return_expression,510,expand_ac,9.70,397
guards_in_return_expression,520,expand_ac,9.72,406
guards_in_return_expression,530,expand_ac,9.87,415
guards_in_return_expression,540,expand_ac,10.04,423
guards_in_return_expression,550,expand_ac,10.21,435
guards_in_return_expression,560,expand_ac,10.14,444
guards_in_return_expression,570,expand_ac,10.37,452
guards_in_return_expression,580,expand_ac,10.37,464
guards_in_return_expression,590,expand_ac,10.52,473
guards_in_return_expression,600,expand_ac,10.61,484
guards_in_return_expression,610,expand_ac,10.78,492
guards_in_return_expression,620,expand_ac,10.64,501
guards_in_return_expression,630,expand_ac,10.94,514
guards_in_return_expression,640,expand_ac,10.84,520
guards_in_return_expression,650,expand_ac,11.18,530
guards_in_return_expression,660,expand_ac,11.16,536
guards_in_return_expression,670,expand_ac,11.32,545
guards_in_return_expression,680,expand_ac,11.29,559
guards_in_return_expression,690,expand_ac,11.36,569
guards_in_return_expression,700,expand_ac,11.66,580
guards_in_return_expression,710,expand_ac,11.54,588
guards_in_return_expression,720,expand_ac,11.75,595
guards_in_return_expression,730,expand_ac,11.92,609
guards_in_return_expression,740,expand_ac,11.79,618
guards_in_return_expression,750,expand_ac,11.99,629
guards_in_return_expression,760,expand_ac,12.21,636
guards_in_return_expression,770,expand_ac,12.32,645
guards_in_return_expression,780,expand_ac,12.50,658
guards_in_return_expression,790,expand_ac,12.34,666
guards_in_return_expression,800,expand_ac,12.69,680
guards_in_return_expression,810,expand_ac,12.78,689
guards_in_return_expression,820,expand_ac,12.83,699
guards_in_return_expression,830,expand_ac,12.78,705
guards_in_return_expression,840,expand_ac,12.77,710
guards_in_return_expression,850,expand_ac,13.06,729
guards_in_return_expression,860,expand_ac,13.15,736
guards_in_return_expression,870,expand_ac,13.21,748
guards_in_return_expression,880,expand_ac,13.45,758
guards_in_return_expression,890,expand_ac,13.48,769
guards_in_return_expression,900,expand_ac,13.35,776
guards_in_return_expression,910,expand_ac,14.36,791
guards_in_return_expression,920,expand_ac,14.38,799
guards_in_return_expression,930,expand_ac,13.94,811
guards_in_return_expression,940,expand_ac,14.23,820
guards_in_return_expression,950,expand_ac,14.06,830
guards_in_return_expression,960,expand_ac,13.94,838
guards_in_return_expression,970,expand_ac,14.95,852
guards_in_return_expression,980,expand_ac,15.03,863
guards_in_return_expression,990,expand_ac,14.67,875
guards_in_return_expression,1000,expand_ac,14.68,881
