model,n,mean_time_s,sd,samples
comprehension_guards,025,0.3,0.008544003745317538,3
comprehension_guards,050,0.5103333333333333,0.014364307617610175,3
comprehension_guards,075,1.032,0.045705579528105805,3
comprehension_guards,100,1.9596666666666667,0.022501851775650273,3
comprehension_guards,125,3.366,0.07534586916347841,3
comprehension_guards,150,5.203,0.03502855977627396,3
comprehension_guards,175,7.789666666666666,0.0511598801145326,3
comprehension_guards,200,11.437333333333333,0.17682288690475909,3
forall,025,0.35233333333333333,0.03716629297271028,3
forall,050,1.0573333333333332,0.08984616482261967,3
forall,075,2.7866666666666666,0.2159313162404503,3
forall,100,5.695,0.06207253821135403,3
forall,125,2.7026666666666666,0.05858611894752327,3
forall,150,4.4173333333333336,0.15829192440972256,3
forall,175,6.924666666666667,0.20889311461446805,3
forall,200,9.792333333333334,0.35533692931263644,3
guards_in_return_expression,025,0.5623333333333334,0.015176736583776235,3
guards_in_return_expression,050,3.472,0.006244997998398386,3
guards_in_return_expression,075,31.776,0.5723224615546726,3
guards_in_return_expression,100,164.77233333333334,3.2545625410081445,3
guards_in_return_expression,125,629.3886666666666,18.717839147009855,3
guards_in_return_expression,150,2438.731,832.1529708599254,3
